Date,High,Low,Close,VIX_Close
1/2/1998,97.65625,96.53125,59.862366,23.42
1/5/1998,98.4375,96.78125,59.996548,24.360001
1/6/1998,97.28125,96.1875,59.037842,25.66
1/7/1998,96.71875,95.21875,59.19128,25.07
1/8/1998,96.3125,95.375,58.673534,26.01
1/9/1998,95.5,91.90625,56.640991,28.690001
1/12/1998,94.1875,90.90625,57.676464,28.02
1/13/1998,95.375,94.21875,58.481785,25.17
1/14/1998,95.96875,94.71875,58.75021,23.75
1/15/1998,95.75,94.8125,58.26123,23.450001
1/16/1998,96.6875,95.65625,59.09536,21.65
1/20/1998,98.015625,96.5,60.054039,21.65
1/21/1998,97.6875,96.15625,59.478832,22.530001
1/22/1998,96.875,95.875,58.951572,23.16
1/23/1998,96.78125,95,58.865261,23.32
1/26/1998,96.734375,95.40625,58.826912,23.969999
1/27/1998,97.5,95.65625,59.421326,22.27
1/28/1998,98.109375,97.1875,59.958191,22.059999
1/29/1998,99.5625,97.5625,60.284145,21.65
1/30/1998,98.96875,98,60.322567,21.469999
2/2/1998,100.5,99.75,61.319572,21.360001
2/3/1998,100.8125,99.71875,61.779755,20.67
2/4/1998,101.15625,99.9375,61.703102,20.549999
2/5/1998,101.59375,100.03125,61.664707,21.290001
2/6/1998,101.625,100.6875,62.354992,20.51
2/9/1998,101.75,100.71875,62.144058,21.549999
2/10/1998,102.46875,101.1875,62.738487,20.66
2/11/1998,102.34375,101.703125,62.680981,20.379999
2/12/1998,102.9375,100.875,62.949398,19.73
2/13/1998,102.515625,101.875,62.585094,19.84
2/17/1998,103.09375,102.15625,62.891899,20.76
2/18/1998,103.484375,102.28125,63.467117,19.66
2/19/1998,103.40625,102.75,63.131588,19.879999
2/20/1998,103.71875,102.375,63.601353,19
2/23/1998,104.25,103.34375,63.850594,18.99
2/24/1998,104.09375,102.9375,63.352036,19.35
2/25/1998,104.875,103.625,64.138191,18.620001
2/26/1998,105.21875,104.1875,64.502533,18.629999
2/27/1998,105.53125,104.53125,64.502533,18.549999
3/2/1998,105.75,104.625,64.368256,19.190001
3/3/1998,105.625,104.53125,64.732597,19.040001
3/4/1998,105.40625,104.4375,64.310776,19.58
3/5/1998,104.4375,103.15625,63.716385,20.93
3/6/1998,105.9375,104.4375,65.001083,19.139999
3/9/1998,106.21875,105.25,64.770935,20.23
3/10/1998,106.84375,105.9375,65.384537,19.43
3/11/1998,107.3125,106.78125,65.691353,18.889999
3/12/1998,107.59375,106.5,65.959778,18.25
3/13/1998,108,106.875,65.710487,18.709999
3/16/1998,108.375,107.53125,66.419952,18.51
3/17/1998,108.5625,107.65625,66.611694,18.66
3/18/1998,108.96875,108.03125,66.860985,18.290001
3/19/1998,109.375,108.65625,67.033531,17.76
3/20/1998,110.1875,108.875,67.610718,18.690001
3/23/1998,110.3125,109.40625,67.456924,19.98
3/24/1998,110.8125,109.9375,68.03376,20.51
3/25/1998,111.53125,109.1875,67.783775,22.540001
3/26/1998,110.75,109.625,67.745323,22.809999
3/27/1998,110.78125,109,67.456924,23.469999
3/30/1998,110.09375,108.96875,67.418419,24.66
3/31/1998,111.1875,109.75,67.649193,24.219999
4/1/1998,111.078125,109.40625,68.197212,23.370001
4/2/1998,112.25,110.75,68.937584,21.98
4/3/1998,112.8125,111.84375,69.283699,21.82
4/6/1998,113.375,111.6875,68.726044,22.469999
4/7/1998,111.9375,110.15625,68.264534,23.66
4/8/1998,111.28125,109.75,67.879944,23.17
4/9/1998,111.28125,110.53125,68.418335,21.51
4/13/1998,111.375,110,68.226074,22.77
4/14/1998,111.8125,110.90625,68.802948,21.610001
4/15/1998,112.125,111.15625,68.995247,20.889999
4/16/1998,111.5,110.5,68.187622,22.059999
4/17/1998,112.4375,110.4375,69.091423,20.76
4/20/1998,112.5625,111.875,69.072205,20.389999
4/21/1998,113.15625,111.90625,69.399071,19.91
4/22/1998,113.4375,112.8125,69.591354,19.440001
4/23/1998,113,111.75,68.918282,20.6
4/24/1998,112.46875,110.34375,68.187622,21.969999
4/27/1998,109.6875,107.625,66.899231,26.09
4/28/1998,109.8125,108.125,66.803093,24.17
4/29/1998,109.96875,108.4375,67.264603,22.780001
4/30/1998,111.921875,110.40625,68.514519,21.18
5/1/1998,112.59375,111.3125,69.283699,19.34
5/4/1998,113.3125,112.15625,69.110619,20.32
5/5/1998,112.15625,111.125,68.629906,21.459999
5/6/1998,112.125,110.1875,67.822266,22.790001
5/7/1998,110.5625,109.34375,67.283821,23.389999
5/8/1998,111.375,110,68.379883,20.57
5/11/1998,112.21875,110.375,68.149132,21.049999
5/12/1998,111.96875,110.34375,68.87989,20.98
5/13/1998,112.5625,111.59375,69.052933,20.440001
5/14/1998,112.6875,111.34375,68.706795,19.639999
5/15/1998,112.21875,110.8125,68.322235,20.440001
5/18/1998,111.59375,109.828125,68.052986,21.690001
5/19/1998,111.6875,110.78125,68.514519,20.389999
5/20/1998,112.5,110.875,69.168304,19.889999
5/21/1998,112.78125,111.3125,68.726044,19.379999
5/22/1998,112.0625,110.9375,68.456848,18.99
5/26/1998,112.09375,109.1875,67.360748,22.07
5/27/1998,109.90625,107.578125,67.456924,22.59
5/28/1998,110.375,109.0625,67.764595,20.74
5/29/1998,110.8125,109.03125,67.091537,21.32
6/1/1998,110.21875,108.5625,67.399216,22.83
6/2/1998,110.34375,109.15625,67.456924,22
6/3/1998,110.1875,107.875,66.380066,22.85
6/4/1998,110.0625,108.0625,67.610718,21.219999
6/5/1998,112,109.875,68.918282,19.780001
6/8/1998,112.46875,111.65625,68.841415,20.58
6/9/1998,112.421875,111.40625,69.052933,20.52
6/10/1998,113.0625,111.25,68.610634,21.48
6/11/1998,111.875,109.375,67.322304,23.57
6/12/1998,110.4375,108.25,67.956856,22.780001
6/15/1998,109.90625,107.5,66.16851,25.940001
6/16/1998,109.21875,107.75,67.18766,24.799999
6/17/1998,111.78125,109.9375,68.591431,22.889999
6/18/1998,111.4375,110.75,68.28376,22.4
6/19/1998,111.234375,109.625,67.941612,21.92
6/22/1998,111.0625,110.0625,68.269547,21.940001
6/23/1998,112.0625,111,69.079773,20.17
6/24/1998,113.6875,111.609375,70.005699,20.02
6/25/1998,114.4375,112.8125,69.889999,20.25
6/26/1998,113.84375,113.125,70.179375,19.360001
6/29/1998,114.6875,113.796875,70.430115,19.57
6/30/1998,114.1875,113.0625,69.947876,19.709999
7/1/1998,114.9375,113.625,70.758049,18
7/2/1998,114.875,114.25,70.893097,17.67
7/6/1998,116,114.5625,71.606819,18.629999
7/7/1998,116.125,115.28125,71.471817,18.620001
7/8/1998,116.9375,115.75,71.992622,17.82
7/9/1998,116.71875,115.625,71.510376,18.16
7/10/1998,116.9375,115.0625,71.896149,17.92
7/13/1998,116.84375,116.0625,71.915489,18.26
7/14/1998,118.15625,116.9375,72.72567,17.879999
7/15/1998,118.28125,117.53125,72.590683,17.889999
7/16/1998,118.59375,117.0625,73.092255,16.969999
7/17/1998,119,118.3125,73.188644,16.23
7/20/1998,119.234375,117.9375,73.188644,17.34
7/21/1998,119,116.28125,71.915489,20.1
7/22/1998,116.984375,115.53125,71.915489,20.32
7/23/1998,116.59375,113.90625,70.487999,23.01
7/24/1998,115.09375,112.875,70.430115,23.01
7/27/1998,115,112.84375,70.931656,23.129999
7/28/1998,114.65625,111.875,69.735626,25.25
7/29/1998,114.125,112.25,69.465561,24.790001
7/30/1998,114.59375,113.40625,70.507263,22.66
7/31/1998,114.5,111.3125,69.002602,24.799999
8/3/1998,112.421875,111.03125,68.713249,25.98
8/4/1998,112.21875,107,66.051132,31.059999
8/5/1998,108.875,105.59375,66.957794,29.83
8/6/1998,109.5,107.5625,67.247169,28.200001
8/7/1998,110.59375,108.46875,67.362915,27.02
8/10/1998,109.65625,108.1875,66.977043,28.75
8/11/1998,107.4375,105.5,65.973969,31.91
8/12/1998,108.875,107.5,67.092819,28.549999
8/13/1998,109.65625,107.375,66.282631,29.92
8/14/1998,108.71875,105.78125,65.511009,34.34
8/17/1998,108.9375,105.5,66.899933,31.860001
8/18/1998,110.59375,108.78125,68.134529,28.4
8/19/1998,111.09375,109.625,67.960915,28.690001
8/20/1998,110.40625,109.15625,67.555786,30
8/21/1998,108.71875,105.5,67.015694,33.139999
8/24/1998,109.9375,108.3125,67.440056,31.799999
8/25/1998,111.25,108.640625,67.59436,30.33
8/26/1998,109.625,107.75,67.208549,31.139999
8/27/1998,107.5625,103.46875,64.044914,38.549999
8/28/1998,105.71875,102.15625,63.813412,39.599998
8/31/1998,104.015625,95,59.26083,44.279999
9/1/1998,100.5625,93.625,61.768631,36.48
9/2/1998,101.75,98.78125,61.324944,36.759998
9/3/1998,99.375,96.75,60.842674,41.43
9/4/1998,99.8125,95.75,60.341103,43.310001
9/8/1998,103,99.8125,63.581944,37.900002
9/9/1998,103.125,100.4375,62.038685,39.66
9/10/1998,99.34375,96.8125,60.804092,45.290001
9/11/1998,101.6875,97,62.771694,43.740002
9/14/1998,104.453125,102.09375,63.852016,38.57
9/15/1998,104.3125,102.28125,64.237793,36.580002
9/16/1998,105.25,103.15625,64.816559,35.939999
9/17/1998,103.03125,101.78125,62.964622,39.23
9/18/1998,102.40625,101.09375,63.245094,38.630001
9/21/1998,103.40625,98.9375,63.206394,38.580002
9/22/1998,103.65625,102.15625,63.729076,36.619999
